Function Stack,CPU Time:Total,CPU Time:Effective Time:Total,CPU Time:Effective Time:Idle:Total,CPU Time:Effective Time:Poor:Total,CPU Time:Effective Time:Ok:Total,CPU Time:Effective Time:Ideal:Total,CPU Time:Effective Time:Over:Total,CPU Time:Spin Time:Total,CPU Time:Overhead Time:Total,CPU Time:Self,CPU Time:Effective Time:Self,CPU Time:Effective Time:Idle:Self,CPU Time:Effective Time:Poor:Self,CPU Time:Effective Time:Ok:Self,CPU Time:Effective Time:Ideal:Self,CPU Time:Effective Time:Over:Self,CPU Time:Spin Time:Self,CPU Time:Overhead Time:Self,Module,Function (Full),Source File,Start Address
Total,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 _start,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,_start,[Unknown],0xa20
  __libc_start_main,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libc.so.6,__libc_start_main,libc-start.c,0x21ab0
   main,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,main,rrt.c,0x12b5
    rrt,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,rrt,rrt.c,0x10c8
     findNearestNode,95.607141,95.607141,,,,95.607141,,,,0.934311,0.934311,0.0,0.0,0.0,0.934311,0.0,0.0,0.0,rrt,findNearestNode,rrt.c,0xb2a
      distance,74.141228,74.141228,,,,74.141228,,,,2.447074,2.447074,0.0,0.0,0.0,2.447074,0.0,0.0,0.0,rrt,distance,tools.c,0x19ad
       __sqrt,22.947134,22.947134,,,,22.947134,,,,1.096871,1.096871,0.0,0.0,0.0,1.096871,0.0,0.0,0.0,libm.so.6,__sqrt,w_sqrt_compat.c,0xeeb0
      func@0x9f0,1.919624,1.919624,,,,1.919624,,,,0.091758,0.091758,0.0,0.0,0.0,0.091758,0.0,0.0,0.0,rrt,func@0x9f0,[Unknown],0x9f0
     edgeCollisions,3.179531,3.179531,,,,3.179531,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,edgeCollisions,rrt.c,0x105a
      LineIntersectsRect,3.179531,3.179531,,,,3.179531,,,,0.031997,0.031997,0.0,0.0,0.0,0.031997,0.0,0.0,0.0,rrt,LineIntersectsRect,rrt.c,0xf05
       LineIntersectsLine,2.510130,2.510130,,,,2.510130,,,,0.119984,0.119984,0.0,0.0,0.0,0.119984,0.0,0.0,0.0,rrt,LineIntersectsLine,rrt.c,0xd86
     _point_collision,1.045757,1.045757,,,,1.045757,,,,0.049987,0.049987,0.0,0.0,0.0,0.049987,0.0,0.0,0.0,rrt,_point_collision,ogm.c,0x22fc
     getRandomNode,0.167571,0.167571,,,,0.167571,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,getRandomNode,tools.c,0x1a5d
      randomDouble,0.167571,0.167571,,,,0.167571,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,randomDouble,tools.c,0x197e
       rand,0.167571,0.167571,,,,0.167571,,,,0.008010,0.008010,0.0,0.0,0.0,0.008010,0.0,0.0,0.0,libc.so.6,rand,rand.c,0x443a0
