Function Stack,CPU Time:Total,CPU Time:Effective Time:Total,CPU Time:Effective Time:Idle:Total,CPU Time:Effective Time:Poor:Total,CPU Time:Effective Time:Ok:Total,CPU Time:Effective Time:Ideal:Total,CPU Time:Effective Time:Over:Total,CPU Time:Spin Time:Total,CPU Time:Overhead Time:Total,CPU Time:Self,CPU Time:Effective Time:Self,CPU Time:Effective Time:Idle:Self,CPU Time:Effective Time:Poor:Self,CPU Time:Effective Time:Ok:Self,CPU Time:Effective Time:Ideal:Self,CPU Time:Effective Time:Over:Self,CPU Time:Spin Time:Self,CPU Time:Overhead Time:Self,Module,Function (Full),Source File,Start Address
Total,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 _start,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,_start,[Unknown],0xa20
  __libc_start_main,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libc.so.6,__libc_start_main,libc-start.c,0x21ab0
   main,100.000000,100.000000,,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,main,rrt.c,0x12b8
    rrt,100.000000,100.000000,,,,100.000000,,,,0.008006,0.008006,0.0,0.0,0.0,0.008006,0.0,0.0,0.0,rrt,rrt,rrt.c,0x10cb
     findNearestNode,59.475429,59.475429,,,,59.475429,,,,0.051986,0.051986,0.0,0.0,0.0,0.051986,0.0,0.0,0.0,rrt,findNearestNode,rrt.c,0xb2a
      distance,46.478841,46.478841,,,,46.478841,,,,0.129864,0.129864,0.0,0.0,0.0,0.129864,0.0,0.0,0.0,rrt,distance,tools.c,0x19b3
       __sqrt,14.012880,14.012880,,,,14.012880,,,,0.056052,0.056052,0.0,0.0,0.0,0.056052,0.0,0.0,0.0,libm.so.6,__sqrt,w_sqrt_compat.c,0xeeb0
     edgeCollisions,38.522954,38.522954,,,,38.522954,,,,0.011957,0.011957,0.0,0.0,0.0,0.011957,0.0,0.0,0.0,rrt,edgeCollisions,rrt.c,0x105a
      LineIntersectsRect,35.533779,35.533779,,,,35.533779,,,,0.020012,0.020012,0.0,0.0,0.0,0.020012,0.0,0.0,0.0,rrt,LineIntersectsRect,rrt.c,0xf05
       LineIntersectsLine,30.530901,30.530901,,,,30.530901,,,,0.122124,0.122124,0.0,0.0,0.0,0.122124,0.0,0.0,0.0,rrt,LineIntersectsLine,rrt.c,0xd86
