Function Stack,CPU Time:Total,CPU Time:Effective Time:Total,CPU Time:Effective Time:Idle:Total,CPU Time:Effective Time:Poor:Total,CPU Time:Effective Time:Ok:Total,CPU Time:Effective Time:Ideal:Total,CPU Time:Effective Time:Over:Total,CPU Time:Spin Time:Total,CPU Time:Overhead Time:Total,CPU Time:Self,CPU Time:Effective Time:Self,CPU Time:Effective Time:Idle:Self,CPU Time:Effective Time:Poor:Self,CPU Time:Effective Time:Ok:Self,CPU Time:Effective Time:Ideal:Self,CPU Time:Effective Time:Over:Self,CPU Time:Spin Time:Self,CPU Time:Overhead Time:Self,Module,Function (Full),Source File,Start Address
Total,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 _start,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,_start,[Unknown],0xa20
  __libc_start_main,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libc.so.6,__libc_start_main,libc-start.c,0x21ab0
   main,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,main,rrt.c,0x12b8
    rrt,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,rrt,rrt.c,0x10cb
     findNearestNode,91.827708,91.827708,66.666667,,,91.966464,,,,0.932898,0.932898,0.0,0.0,0.0,0.932898,0.0,0.0,0.0,rrt,findNearestNode,rrt.c,0xb2a
      distance,72.052576,72.052576,66.666667,,,72.082277,,,,3.074853,3.074853,0.020000,0.0,0.0,3.054853,0.0,0.0,0.0,rrt,distance,tools.c,0x19b3
       __sqrt,15.839550,15.839550,0.0,,,15.926900,,,,0.866423,0.866423,0.0,0.0,0.0,0.866423,0.0,0.0,0.0,libm.so.6,__sqrt,w_sqrt_compat.c,0xeeb0
      func@0x9f0,2.720330,2.720330,0.0,,,2.735332,,,,0.148802,0.148802,0.0,0.0,0.0,0.148802,0.0,0.0,0.0,rrt,func@0x9f0,[Unknown],0x9f0
     edgeCollisions,8.172292,8.172292,33.333333,,,8.033536,,,,0.020000,0.020000,0.0,0.0,0.0,0.020000,0.0,0.0,0.0,rrt,edgeCollisions,rrt.c,0x105a
      LineIntersectsRect,7.806665,7.806665,33.333333,,,7.665893,,,,0.083677,0.083677,0.0,0.0,0.0,0.083677,0.0,0.0,0.0,rrt,LineIntersectsRect,rrt.c,0xf05
       LineIntersectsLine,6.276928,6.276928,33.333333,,,6.127720,,,,0.343348,0.343348,0.010000,0.0,0.0,0.333348,0.0,0.0,0.0,rrt,LineIntersectsLine,rrt.c,0xd86
