Function Stack,CPU Time:Total,CPU Time:Effective Time:Total,CPU Time:Effective Time:Idle:Total,CPU Time:Effective Time:Poor:Total,CPU Time:Effective Time:Ok:Total,CPU Time:Effective Time:Ideal:Total,CPU Time:Effective Time:Over:Total,CPU Time:Spin Time:Total,CPU Time:Overhead Time:Total,CPU Time:Self,CPU Time:Effective Time:Self,CPU Time:Effective Time:Idle:Self,CPU Time:Effective Time:Poor:Self,CPU Time:Effective Time:Ok:Self,CPU Time:Effective Time:Ideal:Self,CPU Time:Effective Time:Over:Self,CPU Time:Spin Time:Self,CPU Time:Overhead Time:Self,Module,Function (Full),Source File,Start Address
Total,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Unknown],[Unknown],[Unknown],[Unknown]
 _start,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,_start,[Unknown],0xa20
  __libc_start_main,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libc.so.6,__libc_start_main,libc-start.c,0x21ab0
   main,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,main,rrt.c,0x12b8
    rrt,100.000000,100.000000,100.000000,,,100.000000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,rrt,rrt.c,0x10cb
     findNearestNode,79.339111,79.339111,0.0,,,80.132502,,,,0.151255,0.151255,0.0,0.0,0.0,0.151255,0.0,0.0,0.0,rrt,findNearestNode,rrt.c,0xb2a
      distance,57.252961,57.252961,0.0,,,57.825491,,,,0.412248,0.412248,0.0,0.0,0.0,0.412248,0.0,0.0,0.0,rrt,distance,tools.c,0x19b3
       __sqrt,16.436316,16.436316,0.0,,,16.600679,,,,0.166007,0.166007,0.0,0.0,0.0,0.166007,0.0,0.0,0.0,libm.so.6,__sqrt,w_sqrt_compat.c,0xeeb0
      func@0x9f0,7.110404,7.110404,0.0,,,7.181508,,,,0.071815,0.071815,0.0,0.0,0.0,0.071815,0.0,0.0,0.0,rrt,func@0x9f0,[Unknown],0x9f0
     edgeCollisions,20.660889,20.660889,100.000000,,,19.867498,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rrt,edgeCollisions,rrt.c,0x105a
      LineIntersectsRect,20.660889,20.660889,100.000000,,,19.867498,,,,0.029975,0.029975,0.010000,0.0,0.0,0.019975,0.0,0.0,0.0,rrt,LineIntersectsRect,rrt.c,0xf05
       LineIntersectsLine,17.693050,17.693050,0.0,,,17.869980,,,,0.178700,0.178700,0.0,0.0,0.0,0.178700,0.0,0.0,0.0,rrt,LineIntersectsLine,rrt.c,0xd86
